ID #	Area	Main Heating System	Second Heating System - 1	Second Heating System - 2	Winter Tstat Setting - Daytime	Winter Tstat Setting - Nighttime	Home's Winter Temp	Programmable Tstat	Month Start Heating	Month Stop Heating	# of Tstats	Tstat Location	AC System	Summer AC Use	Summer Tstat Setting - Daytime	Summer Tstat Setting - Nighttime	Home's summer temp	Sq footage	Yr built	Refrigerator	Freezer	Clothes washer	Clothes dryer	Dishwasher	Stove/range	Microwave	PC	Large screen TV	Reg TV	Hot tub/spa	Swimming pool	Change Time Use of Diswasher	Change Time Use of Stove/range	Change Time Use of Microwave	Change Time Use of PC	Change Time Use of Lg screen TV	Change Time Use of Reg TV	Change Time Use of Hot tub/spa	Loads laundry per week	Temp setting for closther washer	Time laundry is done	Change laundry schedule	Showers/baths per week	Low-flow shower head	Change shower time	Water heater	Water heater timer	Amt of hot water	Water heater set	# of water heaters	Location of water heater	# of People Age 0 - 11	# of People Age 12 - 18	# of People Age 18 - 25	# of People Age 26 - 35	# of People Age 36 - 45	# of People Age 46 - 55	# of People Age 55 - 65	# of People Age 66 or Older	Income	Responsible Occupant - Gender	Responsible Occupant - Age	Responsible Occupant - Education	Responsible Occupant - Internet comfort level
446	G	Electric, central forced air	None		68	66	too cool	No	October	May	1	Main floor hallway	wall or window unit(s)	Routinely	50	50	Too warm	2,000 – 2,499 sq. ft.	1978-1989	2	0	1	1	1	1	1	2	1	1	0	0	Yes	No	No	No	No	No	Not applicable	4 to 6 	Cold / Cold	At various times	Not sure	6 to 10	Not sure	No	Electric	Not sure	Not usually sufficient	To prevent scalding (about 120 F)	1	Garage									$20,000 to $39,999	Female	46 to 55	Trade or technical school	Very comfortable
448	Y	Gas, oil, or propane central forced air	Woodstove or fireplace		73	73	too cool	Yes	November	April	1	Main floor hallway	Central forced air	Routinely	72	70	Just right	2,000 – 2,499 sq. ft.	1970-1978	x	x	x	x	x	x	x	x	x	x	x	x	Yes	Not sure	Not sure	Not sure	Not sure	Not sure	Yes	10 or more	Warm / Cold	At various times	Not sure	20 or more	No	Not sure	Gas	Not sure	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement			1				2		Refused	Female	55 to 65	Some college	Very comfortable
449	C	Electric heat pump, central forced air	Woodstove or fireplace		72	66	just right	Yes	September	May	1	Main floor hallway	Blank	Occasionally	off	off	Just right	1,500 – 1,999 sq. ft.	2000s	1	1	1	1	1	1	1	2	0	1	1	0	Yes	No	Yes	Yes	Not applicable	Yes	Yes	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Yes	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Garage						2			Refused	Male	46 to 55	Some college	Very comfortable
450	Y	Electric baseboard	None		62	62	just right	No	November	April	More than 2	Every room	wall or window unit(s)	Routinely	off	off	Just right	3,000 – 3,499 sq. ft.	1960s	1	1	1	1	0	1	1	1	0	4	0	0	Not applicable	No	Yes	Yes	Not applicable	Yes	Not applicable	7 to 9	Cold / Cold	At various times	Yes	11 to 15	No	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement			1					2	$20,000 to $39,999	Male	66 or older	Some college	Very comfortable
452	C	Electric heat pump, central forced air	Woodstove or fireplace		65	60	just right	Yes	October	March	1	Main floor hallway	Central forced air	Occasionally	80	74	Too warm	3,000 – 3,499 sq. ft.	1990s	x	x	x	x	x	x	x	x		x	x		Yes	Yes	Yes	Not sure	Not applicable	Yes	Yes	None	Warm / Cold	At various times	Yes	0 to 5	Yes	Yes	Electric	Not sure	Usually sufficient	To wash hands comfortably (less than 120 F)	1	Downstairs							1		$60,000 to $79,999	Female	55 to 65	Graduated college	Very comfortable
455	C	Electric heat pump, central forced air	Woodstove or fireplace		69	60	too cool	Yes	October	June	1	Living Room	Heat pump	Occasionally	76	76	Just right	3,000 – 3,499 sq. ft.	1990s	2	1	1	1	1	1	1	2	1	2	1	0	Yes	Not sure	Not sure	No	Yes	Not sure	Yes	1 to 3	Warm / Cold	At various times	Yes	6 to 10	Yes	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage						1	1		$100,000 or more	Male	55 to 65	Graduate college/professional school	Very comfortable
456	G	Gas, oil, or propane central forced air	None		60	69	just right	Yes	November	May	1	Main floor hallway	Central forced air	Routinely	74	74	Just right	2,000 – 2,499 sq. ft.	1990s	x	x	x	x	x	x	x	x	x	x			Yes	No	No	No	No	No	Not applicable	7 to 9	Cold / Cold	At various times	Not sure	20 or more	Yes	No	Gas	No	Usually sufficient	As hot as possible (160 F or more)	1	Garage									$100,000 or more	Female	46 to 55	Some college	Very comfortable
458	G	Gas, oil, or propane central forced air	Other		65	68	just right	Yes	October	Blank	1	Dining Rm Main Floor	Heat pump	Occasionally	80	75	Just right	1,500 – 1,999 sq. ft.	1990s	x	x	x	x	x	x	x	x	x	x	x		Yes	No	No	No	No	No	Yes	4 to 6 	Cold / Cold	At various times	Yes	20 or more	Not sure	No	Gas	No	Sometimes sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage		1			2		2		$80,000 to $99,999	Male	36 to 45	Trade or technical school	Very comfortable
459	G	Electric, central forced air	Woodstove or fireplace		65	65	just right	Yes	October	June	Blank	Main floor Great Rm	Heat pump	Occasionally	68	68	Just right	2,000 – 2,499 sq. ft.	1970-1978	x	x	x	x	x	x	x	x		x	x	x	Yes	No	No	No	Blank	Yes	Yes	10 or more	Warm / Cold	At various times	Yes	16 to 20	No	No	Electric	Not sure	Usually sufficient	To prevent scalding (about 120 F)	1	Downstairs Bathroom									$40,000 to $59,999	Female	36 to 45	Graduate college/professional school	Very comfortable
460	C	Electric heat pump, central forced air	Woodstove or fireplace		70	68	too warm	Yes	October	March	1	Main hallway	Heat pump	Occasionally	72	74	Just right	2,000 – 2,499 sq. ft.	2000s	2	1	1	1	1	1	1	2	1	3	1	0	Yes	Yes	Yes	Not sure	Not sure	Yes	Yes	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	No	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage							2		$80,000 to $99,999	Male	55 to 65	Some high school	A little comfortable
461	Y	Gas, oil, or propane central forced air	None		68	68	just right	Yes	November	February	1	Main floor	Central forced air	Routinely	70	70	Just right	1,000 – 1,499 sq. ft.	2000s	x	x	x	x	x	x	x	x	x	x			Yes	Yes	Yes	No	No	No	No	4 to 6 	Cold / Cold	At various times	Yes	6 to 10	No	No	Gas	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage						2			$100,000 or more	Female	46 to 55	Some college	Very comfortable
462	C	Electric heat pump, central forced air	Woodstove or fireplace		68	64	just right	Yes	November	May	1	Main floor hallway	Heat pump	Occasionally	75	75	Just right	2,000 – 2,499 sq. ft.	1978-1989	x	x	x	x	x	x	x	x		x			Yes	Yes	Yes	No	Blank	No	Blank	1 to 3	Blank	At various times	Yes	0 to 5	No	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Main floor hall								2	$60,000 to $79,999	Male	66 or older	Graduate college/professional school	Very comfortable
463	Y	Electric, central forced air	Woodstove or fireplace		70	52	too cool	No	October	April	1	Main floor hallway	Central forced air	Occasionally	80	80	Too warm	2,000 – 2,499 sq. ft.	1978-1989	X	X	X	X	X	X	X	X		X		X	Yes	No	No	No	Not sure	No	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Yes	No	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage							2		$100,000 or more	Female	55 to 65	Graduated college	A little comfortable
465	G	Gas, oil, or propane central forced air	Woodstove or fireplace		66	55	just right	Yes	October	April	1	Main floor hallway	Heat pump	Occasionally	74	74	Just right	2,500 – 2,999 sq. ft.	1960s	1		1	1	1	2	1	1	1	1			Yes	No	No	No	No	No	Blank	1 to 3	Warm / Cold	At various times	Yes	20 or more	No	Yes	Gas	Not sure	Usually sufficient	To prevent scalding (about 120 F)	1	Basement	4				2				$80,000 to $99,999	Male	36 to 45	Graduated college	Very comfortable
468	G	Gas, oil, or propane central forced air	None		62	56	too cool	Yes	October	June	1	Living Room	None	Don't have one	Off	Off	Too warm	1,500 – 1,999 sq. ft.	Before 1950	1		1	1	1	1	1	1		1			No	No	No	Not sure	Blank	No	Blank	1 to 3	Warm / Cold	At the same time of day	Yes	6 to 10	Not sure	No	Gas	Not sure	Usually sufficient	To prevent scalding (about 120 F)	1	Basement				1		2			$40,000 to $59,999	Female	46 to 55	Graduate college/professional school	Very comfortable
469	C	Electric, central forced air	Woodstove or fireplace		72	0	just right	Blank	Blank	Blank	1	(Blank)	None	Don't have one	0	0	Just right	1,000 – 1,499 sq. ft.	1970-1978	1	2	1	1	1	1	1	1	0	1	0	0	Yes	Yes	Not sure	Yes	Not applicable	Yes	Not applicable	4 to 6 	Warm / Cold	At various times	Not sure	0 to 5	Not sure	Yes	Electric	Not sure	Usually sufficient	Blank	1	Garage								x	$20,000 to $39,999	Female	66 or older	Some college	A little comfortable
470	G	Gas, oil, or propane central forced air	Woodstove or fireplace		68	65	too cool	Yes	September	June	1	Living Room	Heat pump	Occasionally	78	70	Just right	2,500 – 2,999 sq. ft.	1970-1978	3	1	1	1	1	1	1	3		3			Yes	No	No	No	No	Blank	Blank	4 to 6 	Warm / Cold	At various times	Not sure	11 to 15	No	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	2	Laundry and Bathroom			1			1	1		Refused	Female	46 to 55	Graduated college	Very comfortable
471	C	Electric heat pump, central forced air	None		63	63	just right	Yes	September	June	1	Main floor entryway	Heat pump	Occasionally	63	63	Just right	1,500 – 1,999 sq. ft.	1978-1989	2	1	1	1	1	1	1	1		3			Yes	Not sure	Yes	No	Blank	Not sure	Blank	10 or more	Warm / Cold	At various times	Yes	20 or more	Not sure	No	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage		3				2			$60,000 to $79,999	Male	46 to 55	Graduate college/professional school	Very comfortable
476	G	Gas, oil, or propane central forced air	Woodstove or fireplace		65	60	just right	Yes	November	March	1	Main floor hallway	Central forced air	Occasionally	74	74	Just right	2,000 – 2,499 sq. ft.	1990s	x	x	x	x	x	x	x	x		x			Yes	No	No	No	Not sure	Blank	Blank	1 to 3	Warm / Cold	At various times	Not sure	20 or more	Yes	Yes	Gas	No	Usually sufficient	To prevent scalding (about 120 F)	1	Garage		1	1			1	1		$100,000 or more	Male	55 to 65	Graduated college	Very comfortable
478	G	Electric radiant heating	Electric baseboard		68	68	just right	No	November	March	Blank	One in every room	wall or window unit(s)	Occasionally	68	68	too warm	1,500 – 1,999 sq. ft.	1960s	1	1	1	1	1	1	1	2	2	2		1	Yes	Yes	Yes	Yes	Yes	Yes	Yes	10 or more	Cold / Cold	At the same time of day	Yes	16 to 20	Not sure	Yes	Electric	No	Not usually sufficient	To prevent scalding (about 120 F)	1	Lower level 					2				$40,000 to $59,999	Male	36 to 45	Some high school	Very comfortable
480	G	Electric, central forced air	Portable electric heater(s)	Woodstove or fireplace	60	60	too cool	Yes	November	April	1	Main floor hallway	wall or window unit(s)	Occasionally	60	60	Just right	2,000 – 2,499 sq. ft.	1970-1978	1	1	1	1	1	1	1	1		4			Yes	No	No	No	No	No	No	4 to 6 	Cold / Cold	At the same time of day	Yes	11 to 15	Yes	No	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Garage						3			$100,000 or more	Male	46 to 55	Graduated college	Very comfortable
481	G	Gas, oil, or propane central forced air	None		72	72	just right	Yes	October	April	1	Main floor hallway	Central forced air	Routinely	72	72	Just right	1,500 – 1,999 sq. ft.	1978-1989	x		x	x	x	x	x	x		x			Yes	Not sure	Not sure	Yes	Blank	No	Blank	4 to 6 	Warm / Cold	At various times	Yes	16 to 20	Not sure	No	Gas	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Laundry Room					1	1			$80,000 to $99,999	Female	36 to 45	Graduated college	Very comfortable
482	G	Gas, oil, or propane central forced air	Woodstove or fireplace		70	68	Blank	Yes	October	March	1	Living Rm, 1st floor	wall or window unit(s)	Occasionally	70	70	Too warm	1,000 – 1,499 sq. ft.	2000s	1	1	1	1	1	1	1	1	1	2	0	0	Yes	Yes	No	No	No	Yes	Not applicable	7 to 9	Cold / Cold	At various times	Yes	20 or more	Yes	Yes	Gas	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage				1	1				$40,000 to $59,999	Male	26 to 35	Graduated college	Very comfortable
483	G	Electric, central forced air	Woodstove or fireplace		65	60	too cool	No	October	May	1	Main floor hallway	Blank	Occasionally	blank	blank	Just right	1,500 – 1,999 sq. ft.	1970-1978	2		1	1	1	1	1	1		2			Yes	No	No	No	No	No	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	20 or more	Yes	No	Electric	No	Sometimes sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage		1	1			2			$60,000 to $79,999	Male	46 to 55	Graduated college	Very comfortable
484	G	Gas, oil, or propane central forced air	None		62	62	too cool	Yes	October	May	1	2nd floor hallway	Central forced air	Routinely	76	84	Just right	2,000 – 2,499 sq. ft.	1978-1989	2	1	1	1	1	1	1	1	0	1	1	0	Yes	No	No	No	Not applicable	No	No	4 to 6 	Warm / Cold	At various times	Yes	20 or more	Yes	No	Gas	No	Sometimes sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement		1				2			$80,000 to $99,999	Male	46 to 55	Graduated college	Very comfortable
485	G	Gas, oil, or propane central forced air	None		69	65	just right	Yes	October	April	1	Main hallway	Central forced air	Occasionally	69	65	Just right	1,500 – 1,999 sq. ft.	1990s	2	1	1	1	1	1	1	2	0	3	1	0	Yes	No	No	No	Not applicable	No	Yes	10 or more	Cold / Cold	At various times	Yes	20 or more	Yes	Not sure	Gas	No	Usually sufficient	To prevent scalding (about 120 F)	1	Garage		1		2					$40,000 to $59,999	Female	36 to 45	Graduated college	A little comfortable
492	G	Gas, oil, or propane central forced air	Woodstove or fireplace		68	60	just right	No	October	April	1	Main floor entry	Central forced air	Routinely	74	74	Just right	1,500 – 1,999 sq. ft.	1978-1989	x	x	x	x	x	x	x	x	x	x			No	No	No	No	No	Blank	Blank	10 or more	Warm / Cold	At various times	Not sure	20 or more	No	Not sure	Gas	No	Usually sufficient	To prevent scalding (about 120 F)	1	Garage		2				2			$80,000 to $99,999	Male	46 to 55	Some college	Very comfortable
494	G	Gas, oil, or propane central forced air	Portable electric heater(s)	Woodstove or fireplace	70	62	just right	Yes	Blank	April	1	Main floor hallway	None	Don't have one	68	70	Just right	1,500 – 1,999 sq. ft.	1970-1978	1	1	1	1	1	1	1	3	1	3			Yes	No	No	No	Not sure	Not sure	Blank	4 to 6 	Warm / Cold	At various times	Yes	20 or more	Yes	No	Gas	No	Usually sufficient	To prevent scalding (about 120 F)	1	Garage		2				2			$100,000 or more	Male	46 to 55	Some college	Very comfortable
499	G	Electric heat pump, central forced air	Woodstove or fireplace	Other	70	69	just right	No	October	June	1	Main floor entry	Heat pump	Routinely	75	75	Just right	1,500 – 1,999 sq. ft.	1978-1989	x	x	x	x	x	x	x	x		x	x		Not sure	Not sure	Not sure	Not sure		Not sure	Not sure	4 to 6 	Cold / Cold	At various times	Not sure	6 to 10	Not sure	No	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement Crawlspace							1	1	$60,000 to $79,999	Male	66 or older	Trade or technical school	A little comfortable
504	G	Gas, oil, or propane central forced air	Woodstove or fireplace		61	67	too cool	Yes	October	April	1	Hallway	Heat pump	Routinely	70	70	Just right	1,500 – 1,999 sq. ft.	Blank	1	2	1	1	1	1	1	1	1		1		Yes	Not sure	Yes	Yes	No	No	Not sure	10 or more	Cold / Cold	At the same time of day	Yes	20 or more	Not sure	Yes	Gas	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage		2		1	1				$60,000 to $79,999	Female	36 to 45	Trade or technical school	Very comfortable
505	G	Gas, oil, or propane central forced air	Woodstove or fireplace		60	60	too cool	Not sure	November	March	1	Upstairs Hallway	None	Don't have one	Off	Off	Too warm	1,500 – 1,999 sq. ft.	1970-1978	2	0	1	1	1	1	1	4	1	7	0	0	Yes	Yes	Yes	Not sure	Yes	Yes	Not applicable	10 or more	Warm / Cold	At various times	Not sure	20 or more	Yes	no	Gas	Not sure	Sometimes sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage		1	1	1		2			$60,000 to $79,999	Female	36 to 45	Some college	Very comfortable
506	G	Gas, oil, or propane central forced air	None		67	62	just right	Yes	Blank	Blank	1	main floor hallway	None	Don't have one	68	62	Too warm	2,000 – 2,499 sq. ft.	1990s	1	2	1	1	1	1	1	3	0	1	0	0	Yes	no	no	no	no	no	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	20 or more	Not sure	Not sure	Gas	no	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage		1			1	1			$80,000 to $99,999	Male	46 to 55	Graduate college/professional school	Very comfortable
508	G	Gas, oil, or propane central forced air	Portable electric heater(s)		73	73	just right	Yes	September	June	1	Living Room	Central forced air	Occasionally	73	75	Just right	1,000 – 1,499 sq. ft.	1990s	x		x		x	x	x	x		x			Yes	no	no	no	no	no	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	16 to 20	Not sure	no	Gas	no	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage				1		1	1		$40,000 to $59,999	Female	26 to 35	Graduate college/professional school	Very comfortable
509	G	Gas, oil, or propane central forced air	Woodstove or fireplace		68	62	too cool	Yes	October	May	1	2nd floor hallway	Central forced air	Occasionally	78	off	Just right	2,500 – 2,999 sq. ft.	1970-1978	x	x	x	x	x	x	x	x		x			Yes	no	no	Yes	Blank	no	Not applicable	10 or more	Warm / Cold	At various times	Yes	16 to 20	Not sure	no	Gas	Not sure	Usually sufficient	To prevent scalding (about 120 F)	1	Garage				1	1				$40,000 to $59,999	Female	26 to 35	Graduated college	Very comfortable
510	G	Electric heat pump, central forced air	None		71	60	just right	Yes	September	June	1	1st floor hallway	Heat pump	Routinely	72	72	Just right	1,500 – 1,999 sq. ft.	1970-1978	1	0	1	1	1	1	1	3	0	2	0	0	Yes	no	no	no	Blank	no	Blank	4 to 6 	Cold / Cold	At various times	Yes	20 or more	Yes	no	Electric	no	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage			1			1	1		$100,000 or more	Female	46 to 55	Graduate college/professional school	Very comfortable
512	G	Gas, oil, or propane central forced air	Woodstove or fireplace		68	65	just right	Yes	November	June	1	Main floor hallway	Central forced air	Routinely	70	72	Just right	1,000 – 1,499 sq. ft.	1970-1978	x		x	x	x	x	x	x		x			Yes	no	no	no		Not sure		4 to 6 	Cold / Cold	At various times	Not sure	16 to 20	Not sure	no	Gas	no	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage							2		$60,000 to $79,999	Female	55 to 65	Some college	Very comfortable
513	G	Gas, oil, or propane central forced air	Woodstove or fireplace		68	60	just right	No	October		1	Main floor	None	Don't have one	No answer	No answer	Too warm	2,500 – 2,999 sq. ft.	1990s	2	1	1	1	1	2	2	2	1	2	1	0	Yes	No	No	No	No	No	Yes	10 or more	Warm / Cold	At various times	Yes	11 to 15	Yes	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement									$40,000 to $59,999	Male	55 to 65	Graduated college	Very comfortable
514	G	Gas, oil, or propane central forced air	Woodstove or fireplace		65	68	too warm	Yes	October	March	1	Main floor hallway	Central forced air	Routinely	60	60	Just right	1,000 – 1,499 sq. ft.	1970-1978	2	1	1	1	1	1	1	1	1	2	0	0	Yes	Yes	Yes	Not sure	Not sure	Not sure	Blank	4 to 6 	Cold / Cold	At various times	Not sure	11 to 15	No	Not sure	Gas	Not sure	Not usually sufficient	As hot as possible (160 F or more)	1	Garage				2					$60,000 to $79,999	Female	26 to 35	Some college	Very comfortable
516	G	Gas, oil, or propane central forced air	None		67	62	just right	Yes	October	May	1	Main floor hallway	Central forced air	Routinely	72	70	Too warm	3,000 – 3,499 sq. ft.	1990s	x	x	x	x	x	x	x	x	x	x			Yes	no	no	no	no	no	Blank	4 to 6 	Warm / Cold	At various times	Not sure	11 to 15	No	No	Gas	no	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage						2			$100,000 or more	Male	46 to 55	Graduated college	Very comfortable
518	G	Gas, oil, or propane central forced air	Woodstove or fireplace		69	64	just right	Yes	October	May	1	Main floor hallway	Central forced air	Routinely	74	77	Just right	1,500 – 1,999 sq. ft.	1970-1978	1	1	1	1	1	1	1	2	0	4	1	1	Yes	No	No	No	Not sure	No	No	7 to 9	Warm / Cold	At the same time of day	Yes	16 to 20	Yes	No	Gas	Not sure	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Laundry Room				2					$80,000 to $99,999	Male	26 to 35	Graduate college/professional school	Very comfortable
519	G	Gas, oil, or propane central forced air	None		69	69	just right	Yes	November	June	1	Main floor hallway	Central forced air	Routinely	69	69	Just right	2,000 – 2,499 sq. ft.	1990s	x	x	x	x	x	x	x	x	x	x	x		Yes	Yes	Yes	No	No	Yes	Yes	4 to 6 	Cold / Cold	At various times	Yes	16 to 20	Yes	No	Gas	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	2	Garage			2		1				$100,000 or more	Male	46 to 55	Some college	Very comfortable
520	G	Gas, oil, or propane central forced air	Other		68	60	just right	Yes	October	May	1	Main floor hallway	Central forced air	Occasionally	76	76	Just right	2,000 – 2,499 sq. ft.	1978-1989	1	1	1	1	1	1	1	1	1	2	1	0	Yes	no	no	no	no	Not sure	no	4 to 6 	Cold / Cold	At various times	Yes	6 to 10	Yes	Yes	Gas	No	Usually sufficient	To prevent scalding (about 120 F)	1	Laundry Room			1				2		$60,000 to $79,999	Male	55 to 65	Graduate college/professional school	A little comfortable
522	G	Electric heat pump, central forced air	Portable electric heater(s)	Woodstove or fireplace	73	70	just right	Yes	November	April	1	Main floor hallway	Heat pump	Routinely	78	78	Just right	2,500 – 2,999 sq. ft.	1990s	2	3	1	1	1	1	1	2	1	4	0	0	Yes	Not sure	Not sure	Not sure	Not sure	Not sure	Not applicable	7 to 9	Cold / Cold	At various times	Yes	11 to 15	Not sure	Not sure	Electric	Not sure	Usually sufficient	To prevent scalding (about 120 F)	1	Laundry Room						1		2	$60,000 to $79,999	Female	46 to 55	Graduated college	Very comfortable
523	G	Electric heat pump, central forced air	Gas, oil, or propane central forced air		65	60	just right	Yes	September	June	1	Main floor hallway	Heat pump	Occasionally	72	72	Just right	2,500 – 2,999 sq. ft.	1970-1978	1	1	1	1	1	1	1	1	0	2	0	0	Yes	Not sure	Not sure	Not sure	Not applicable	Yes	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	6 to 10	Yes	no	Electric	Yes	Usually sufficient	To prevent scalding (about 120 F)	1	Garage									$40,000 to $59,999	Male	55 to 65	Some college	Very comfortable
524	G	Electric heat pump, central forced air	Woodstove or fireplace		67	70	too cool	Yes	October	April	1	Main floor hallway	Heat pump	Routinely	73	73	Just right	1,000 – 1,499 sq. ft.	1970-1978	x	x	x	x	x	x	x	x		x			Yes	Not sure	Not sure	Not sure		Yes		7 to 9	Warm / Cold	At the same time of day	Yes	16 to 20	Yes	Yes	Electric	Not sure	Usually sufficient	As hot as possible (160 F or more)	1	Garage					1	1			$60,000 to $79,999	Female	46 to 55	Some college	Very comfortable
526	P	Electric heat pump, central forced air	Woodstove or fireplace		63	63	just right	Yes	September	May	1	Main floor family room	Heat pump	Never	63	63	Too warm	2,000 – 2,499 sq. ft.	1978-1989	1	1	1	1	1	1	1	1		2	1	0	Yes	Not sure	Yes	Not sure		Not sure		1 to 3	Warm / Cold	At the same time of day	Yes	6 to 10	Yes	No	Electric	No	Usually sufficient	Blank	1	Hall closet						2			$80,000 to $99,999	Female	46 to 55	Some college	Very comfortable
527	G	Gas, oil, or propane central forced air	None		67	55	just right	Yes	October	April	1	Main floor hallway	Central forced air	Occasionally	68	55	Just right	2,000 – 2,499 sq. ft.	1978-1989	3		1	1	1	1	1	2		4		1								4 to 6 	Cold / Cold	At various times	Not sure	20 or more	Yes	Not sure	Gas	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Main floor hall									Blank	Male	55 to 65	High school	A little comfortable
531	C	Electric heat pump, central forced air	None		71	68	just right	Yes	September	May	1	Main floor hallway	Heat pump	Occasionally	75	70	Just right	2,500 – 2,999 sq. ft.	1990s	1	1	1	1	1	1	1	2	0	4	0	0	Yes	No	No	No	Not applicable	No	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	6 to 10	Yes	No	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Basement				1			2		$40,000 to $59,999	Male	55 to 65	Trade or technical school	Very comfortable
9531	G	Gas, oil, or propane central forced air	Woodstove or fireplace		68	60	just right	no	October	Blank	1	Interior Wall-Main floor	None	Don't have one	blank	blank	Too warm	2,500 – 2,999 sq. ft.	1990s	2	1	1	1	1	2	2	2	1	2	1		Yes	no	no	no	no	no	Yes	10 or more	Warm / Cold	At various times	Yes	11 to 15	Yes	Not sure	Electric	no	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement									$40,000 to $59,999	Male	55 to 65	Graduated college	Very comfortable
532	P	Electric, central forced air	Woodstove or fireplace		67	60	just right	No	October	May	1	Hallway	None	Never	off	off	Too warm	1,500 – 1,999 sq. ft.	1978-1989	x	x	x	x	x	x	x	x		x			Yes	Not sure	Not sure	Yes	Blank	Not sure	Blank	7 to 9	Warm / Cold	At various times	Yes	0 to 5	Not sure	Not sure	Electric	No	Sometimes sufficient	To prevent scalding (about 120 F)	1	Laundry Room		1	2		1	1			$60,000 to $79,999	Female	46 to 55	Graduate college/professional school	Not comfortable
533	G	Electric, central forced air	None		65	62	too cool	no	November	March	1	Hallway	None	Don't have one	off	off	Too warm	1,500 – 1,999 sq. ft.	1978-1989	1		1	1	1	1	1	1		2	1		Yes	Yes	Yes	Yes		Yes	Yes	4 to 6 	Warm / Cold	At various times	Yes	6 to 10	No	Yes	Blank	No	Blank	For the dishwasher/clothes washer (about 140 F)	Blank	Garage				2			2		Blank	Male	55 to 65	Trade or technical school	Very comfortable
534	G	Electric, central forced air	Woodstove or fireplace		67	52	too cool	Yes	October	April	1	Main floor hallway	Central forced air	Occasionally	78	off	Just right	3,000 – 3,499 sq. ft.	1990s	1	1	1	1	1	2	1	3	0	2	0	0	Yes	Yes	no	Yes	Blank	Yes	Blank	4 to 6 	Warm / Cold	At various times	Yes	20 or more	No	Yes	Gas	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	2	Garage				2	1				$80,000 to $99,999	Male	36 to 45	Graduated college	Very comfortable
536	G	Gas, oil, or propane central forced air	None		68	64	just right	Yes	October	May	1	Center of main floor	None	Don't have one	off	off	Too warm	3,000 – 3,499 sq. ft.	2000s	1	1	1	1	1	1	1	3	1	5	0	0	Yes	no	no	no	Yes	Not sure	Yes	7 to 9	Cold / Cold	At various times	Yes	20 or more	Not sure	no	Gas	Not sure	Usually sufficient	To prevent scalding (about 120 F)	1	Garage				1	1				$60,000 to $79,999	Male	36 to 45	Graduated college	Very comfortable
537	G	Gas, oil, or propane central forced air	Portable electric heater(s)	Woodstove or fireplace	69	65	too cool	No	October	May	1	Main floor hallway	Central forced air	Occasionally	78	72		More than 3,500 sq. ft.	1978-1989	2	1	x	x	x	x	x	x		x			Yes	No	No	No		No		10 or more	Warm / Cold	At various times	Yes	16 to 20	Not sure	No	Gas	Not sure	Usually sufficient	To prevent scalding (about 120 F)	1	Basement		1			2				$40,000 to $59,999	Female	36 to 45	Graduated college	Very comfortable
